"dataset_id","title","species","tissues","organ_parts","cell_types","cells","spots","genes","development_stages","sex","stomics_technologies","sample_number","sections_number","disease","browser","summary","overall_design","submission_date","last_modified","contributors","contacts","citation","accessions","platforms","pmid","dataset_quality"
"STDS0000209","Multimodal human thymic profiling reveals trajectories and cellular milieu for T agonist selection","Homo sapiens","Thymus;Blood","","","0","0","0","7 days;2.5 months;9 months;1.6 months;13.5 months;5 months;10 days;4 months;5.5 months;12 months","F/M","scRNA;10x Visium","28","0","","","This SuperSeries is composed of the SubSeries listed below.","Refer to individual Series","2022-06-29 00:00:00","2023-02-10 00:00:00","Lie, Benedicte Alexandra","","Heimli, Marte et al. “Multimodal human thymic profiling reveals trajectories and cellular milieu for T agonist selection.” Frontiers in immunology vol. 13 1092028. 20 Jan. 2023, doi:10.3389/fimmu.2022.1092028","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207206","Illumina NovaSeq 6000","36741401","5"
"STDS0000210","Mapping the Spatial Dynamics of the Human Oral Mucosa in Chronic Inflammatory Disease","Homo sapiens","Mucosa","Oral mucosa","","0","39936","36945","","","10x Visium","8","8","","","The interplay among different cells in a tissue is essential for maintaining homeostasis. Although, disease states have been traditionally attributed to individual cell types, increasing evidence and new therapeutic options have demonstrated the primary role of multicellular functions to understand health and disease, opening new avenues to understand pathogenesis and develop new treatment strategies.  We recently described the cellular composition and dynamics of the human oral mucosa; however, the spatial arrangement of cells is needed to better understand a morphologically complex tissue. Here, we link single-cell RNA sequencing, spatial transcriptomics, and high-resolution multiplex fluorescence in situ hybridisation to characterise human oral mucosa in health and oral chronic inflammatory disease. We define highly specialised epithelial and stromal compartments and describe location-specific immune programs. Furthermore, we discovered fine regional fibroblast states, and spatially mapped a rare pathogenic population localised in a highly immunogenic region, responsible for lymphocyte recruitment through CXCL8 and CXCL10 and with a possible role in pathological angiogenesis through ALOX5AP. Collectively, our study provides a comprehensive reference for the study of oral chronic disease pathogenesis.","Adult oral mucosa tissue sections from healthy and periodontitis affected individuals were subjected to spatial transcriptomics analyses.","2022-06-22 00:00:00","2023-02-02 00:00:00","Sharpe, Paul;Caetano, A J;Redhead, Y;Karim, F;Dhami, P;Kannambath, S;Nuamah, R;Volponi, A A;Nibali, L;Booth, V;D'Agostino, E M;Sharpe, P T","","Caetano, Ana J et al. “Spatially resolved transcriptomics reveals pro-inflammatory fibroblast involved in lymphocyte recruitment through CXCL8 and CXCL10.” eLife vol. 12 e81525. 17 Jan. 2023, doi:10.7554/eLife.81525","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206621","Illumina NextSeq 500","36648332","5"
"STDS0000191","Spatial transcriptomic characterization of the lung parenchyma during COVID-19 pneumonitis","Homo sapiens","Lung","Postmortem Lung","","0","1926","46","","","GeoMx DSP","47","0","COVID-19","","Severe lung damage in COVID-19 is known to involve complex interactions between diverse populations of immune and stromal cells. The pneumonitis manifesting in COVID-19 and acute respiratory distress syndrome results in spatially heterogenous manifestations of injury, such as infiltrates, loss of epithelial integrity and fibrosis. In this study, we applied a spatial transcriptomics approach to better delineate the cells, pathways and genes responsible for promoting and perpetuating severe tissue pathology in COVID-19 pneumonitis. Guided by tissue histology and multiplex immunofluorescence, we performed a targeted sampling of dozens of regions representing a spectrum of diffuse alveolar damage (mild to severe) from the post-mortem lung of three COVID-19 patients.  These microscopic sites of injury had varying known compositions of CD3+ lymphocytes, CD68+ myeloid cells and panCK+ epithelial cells.
DCC files are the processed sequencing files using the NanoString DND pipeline. The ""Initial Dataset.xlsx"" is represents raw gene counts for each probe replicate (n=47). ""Post Biological Probe QC.xlsx"" removes a sample (n=46) with failed sequencing (no rawReads) and conducts biological probe quality controls to collapse probe replicates into a single count per target gene using the GeoMx Analysis suite (version 2.1.0.102).  ""qn.exprs.tsv"" is the matrix of quantile normalised gene expression by segment (n=46) and  ""qn.exprs.corrected.tsv"" is the matrix of quantile normalised and batch corrected matrix of gene expression by segment (n=46). Rendered multichannel immunofluorescent microscopy png images corresponding to each area of interest (AOI with the acquistion borders outlined in white) are included.  Further images can be made available upon request.","RNA expression was assessed in selected areas within the lung parenchyma from three COVID-19 patients. Tissues were obtained rapidly postmortem, through open biopsy. At least, 14 spatially distinct areas (AOI) per tissue section were sampled to demonstrate the breadth of inflammation and injury within the alveolar region (total AOI = 46).  The areas (AOI) were classified by the severity of alveolar tissue and the presence of proximal SARS-CoV-2 nucelocapsid in aligned non-sequential tissue sections.   These microscopic sites of injury had varying known compositions of CD3+ lymphocytes, CD68+ myeloid cells and panCK+ epithelial cells. The genes measured were included in the NanoString Cancer Transcriptome Atlas (CTA) panel and those included in the COVID-19 spike-in gene panel for added respiratory-related and SARS-CoV-2 genes. The raw count matrix, the quantile normalized expression matrix and the metadata (including the calculated CD3+ and CD68+ cell composition, and the severity of alveolar damage) are provided.  The corresponding immunofluorescence images of each AOI and the whole tissue scan can be provided upon request.","2021-10-20 00:00:00","2023-01-30 00:00:00","Cross, Amy Rachael;Cross, A R;Sansom, S N;Issa, F","","Cross, Amy R et al. “Spatial transcriptomic characterization of COVID-19 pneumonitis identifies immune circuits related to tissue injury.” JCI insight vol. 8,2 e157837. 24 Jan. 2023, doi:10.1172/jci.insight.157837","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE186213","NextSeq 2000","36472908","2"
"STDS0000199","A topographic atlas defines developmental origins of cell heterogeneity in the human embryonic lung [SC]","Homo sapiens","Lung","","","0","0","0","8.5 PCW;6 PCW;8 PCW;5 PCW;12 PCW;13 PCW;14 PCW;11.5 PCW;10 PCW;7 PCW;5.5 PCW","F/M","10x Visium","39","39","","","The lung contains numerous specialized cell-types with distinct roles in tissue function and integrity. To clarify the origins and mechanisms generating cell heterogeneity, we created a comprehensive topographic atlas of early human lung development. Here, we report 83 cell states, several spatially-resolved developmental trajectories and predict cell interactions within defined tissue niches. We integrated scRNA-Seq and spatially resolved transcriptomics into a web-based, open platform for interactive exploration. We show distinct gene expression programs, accompanying sequential events of cell differentiation and maturation of the secretory and neuroendocrine cell-types in proximal epithelium. We define the origin of airway fibroblasts associated with airway smooth muscle in bronchovascular bundles and describe a trajectory of Schwann cell progenitors to intrinsic parasympathetic neurons controlling bronchoconstriction. Our atlas provides a rich resource for further research and a reference for defining deviations from homeostatic and repair mechanisms leading to pulmonary diseases.","For tissue dissociation, tracheas were removed and lungs were finely minced. For later timepoints, lobes were first dissected into smaller pieces. Then, they were digested in 4U/ml Elastase (Worthington, cat no. LS002292), 1 mg/ml of DNase (Worthington, cat no. LK003170) in HBSS (Gibco, cat no. 14170) at 37°C ranging between 30 min to 3 h depending on the age (older timepoints require longer digestion times). HBSS supplemented with 2 % FCS (Gibco, cat no. 10500064) was used for the whole procedure. The tissues were triturated with fire polished glass Pasteur pipettes every 15-20 min for the tissue to fall apart more easily and enhance the dissociation. After digestion, the cell suspension was filtered (twice if needed) in a 15ml Falcon tube using a 30μm cell strainer (CellTrics, Sysmex), to remove remaining undissociated clumps and debris. The filtered cell suspension was kept ice cold and was diluted (roughly 1:2) with ice cold HBSS to prevent further digestion by the enzyme.. The filtered cell suspension wascells were pelleted through centrifugation at 200g for 5 min at 4 °C, the supernatant was removed and the pellet resuspended in a small volume of calcium- and magnesium-free HBSS (Gibco, cat no.14170) and transferred to 1.5ml Eppendorf tubes precoated with 30% BSA (A9576, Sigma-Aldrich). A Bürker chamber was used for cell counting.
NOTE FROM SUBMITTER: raw reads from our cohort are considered sensate and protected by GDPR regulations, and will therefore be uploaded to Swedish federated EGA.","2022-10-17 00:00:00","2023-01-20 00:00:00","Czarnewski, Paulo;Sergio, Marco S;Alexandros, Sountoulidis;Paulo, Czarnewski;Christos, Samakovlis","","Sountoulidis, Alexandros et al. “A topographic atlas defines developmental origins of cell heterogeneity in the human embryonic lung.” Nature cell biology vol. 25,2 (2023): 351-365. doi:10.1038/s41556-022-01064-x","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE215895","NextSeq 2000","36646791","1"
"STDS0000175","A topographic atlas defines developmental origins of cell heterogeneity in the human embryonic lung [ST]","Homo sapiens","Lung","","","0","0","0","7 weeks;11 weeks;10 weeks;9 weeks;8 weeks;12 weeks;6 weeks;8.5 weeks;13.5 weeks","","10x Visium","0","0","","","The lung contains numerous specialized cell-types with distinct roles in tissue function and integrity. To clarify the origins and mechanisms generating cell heterogeneity, we created a comprehensive topographic atlas of early human lung development. Here, we report 83 cell states, several spatially-resolved developmental trajectories and predict cell interactions within defined tissue niches. We integrated scRNA-Seq and spatially resolved transcriptomics into a web-based, open platform for interactive exploration. We show distinct gene expression programs, accompanying sequential events of cell differentiation and maturation of the secretory and neuroendocrine cell-types in proximal epithelium. We define the origin of airway fibroblasts associated with airway smooth muscle in bronchovascular bundles and describe a trajectory of Schwann cell progenitors to intrinsic parasympathetic neurons controlling bronchoconstriction. Our atlas provides a rich resource for further research and a reference for defining deviations from homeostatic and repair mechanisms leading to pulmonary diseases.","One of the two lungs (preferentially the left), from each donor, was snap frozen in cryomatrix and further used for histological analyses. We cut 10-12μm-thick tissue sections with a cryostat (Leica CM3050S or analogue) and collected them onto poly-lysine coated slides (VWR Cat No. 631-0107)
NOTE FROM SUBMITTER: raw reads from our cohort are considered sensate and protected by GDPR regulations, and will therefore be uploaded to Swedish federated EGA.","2022-10-17 00:00:00","2023-01-20 00:00:00","Czarnewski, Paulo;Sergio, Marco S;Alexandros, Sountoulidis;Paulo, Czarnewski;Christos, Samakovlis","","Sountoulidis, Alexandros et al. “A topographic atlas defines developmental origins of cell heterogeneity in the human embryonic lung.” Nature cell biology vol. 25,2 (2023): 351-365. doi:10.1038/s41556-022-01064-x","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE215897","Illumina NextSeq 500;Illumina NovaSeq 6000;NextSeq 2000","36646791","5"
"STDS0000178","Integration of whole transcriptome spatial profiling with protein markers","Mus musculus","Spleen;Breast","","","0","4631","32286","","","10x Visium","2","2","","","Spatial transcriptomics and proteomics provide complementary information that independently transformed our understanding of complex biological processes. However, experimental integrations of these modalities are limited. To overcome this, we developed Spatial PrOtein and Transcriptome Sequencing (SPOTS) for high-throughput simultaneous integration of spatial transcriptomics and protein profiling. Compared to unimodal measurements, SPOTS substantially improves signal resolution and cell clustering and enhances the discovery power in differential gene expression analysis across tissue regions.","Multimodal spatial profiling of whole transcriptomes and extracellular proteins in mouse spleen and breast cancer.","2022-03-10 00:00:00","2023-01-18 00:00:00","Niu, Xiang;Ben-Chetrit, Nir;Swett, Ariel;Stoeckius, Marlon;Landau, Dan A","","Ben-Chetrit, Nir et al. “Integration of whole transcriptome spatial profiling with protein markers.” Nature biotechnology vol. 41,6 (2023): 788-793. doi:10.1038/s41587-022-01536-3","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198353","Illumina NextSeq 500;Illumina NovaSeq 6000","36593397","5"
"STDS0000171","Defining the spatial-molecular map of fibrotic tendon healing and the drivers of Scleraxis-lineage cell fate and function","Mus musculus","Legs","Hindpaw","","0","8465","32286","10-12 weeks","","10x Visium","8","8","","","Spatial transcriptomic analysis of murine FDL tendons following acute injury and repair to evaluate spatiotemporal programming of tendon healing","Hindpaws from Scx-Ai9 mice (Scx-lin+ cells labeled with tdTomato fluorescence prior to surgery) were collected at D0, 14, 21, and 28 post-injury (in duplicate) for ST analysis of healing tendons using the 10X Visium platform","2022-10-20 00:00:00","2023-01-06 00:00:00","Ackerman, Jessica;Best, Katherine;Muscat, Samantha;Nichols, Anne;Pritchett, Elizabeth;Wu, Chia-Lung;Loiselle, Alayna","","Ackerman, Jessica E et al. “Defining the spatial-molecular map of fibrotic tendon healing and the drivers of Scleraxis-lineage cell fate and function.” Cell reports vol. 41,8 (2022): 111706. doi:10.1016/j.celrep.2022.111706","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216214","NextSeq 550","36417854","2"
"STDS0000205","Spatial transcriptomics landscape of non-communicable inflammatory skin diseases","Homo sapiens","Skin","","","0","0","0","","","10x Visium","74","0","Psoriasis | Atopic dermatitis | Lichen planus | Pityriasis rubra pilaris / Psoriasis | Psoriasis, Lichen planus | Atopic dermatitis, Lichen planus","","We investigated the landscape of non-communicable inflammatory skin diseases by spatial transcriptomics resulting in a large repository of spatially defined human cutaneous transcriptomes of 31 patients.","Dataset containing 90 spatial transcriptomic sequencing samples of skin biopsies taken from 31 patients diagnosed with psoriasis, atopic dermatitis or lichen planus, including duplicates of 31 lesional and 14 matched non-lesional samples. Samples  21L008958-21L008973 contain 2-3 specimen on a capture area from different patients and diseases.","2022-06-17 00:00:00","2023-01-02 00:00:00","Hillig, Christina;Schaebitz, Alexander;Mubarak, Menatullah;Jargosch, Manja;Farnoud, Ali;Scala, E.;Kurzen, Nils;Pilz, A.C.;Bhalla, N.;Thomas, J.;Stahle, M.;Biedermann, T.;Schmidt-Weber, C.B.;Theis, Fabian;Walzthoeni, Thomas;Garzorz-Stark, Natalie;Eyerich, Kilian;Menden, Michael;Eyerich, Stefanie","","Schäbitz, A et al. “Spatial transcriptomics landscape of lesions from non-communicable inflammatory skin diseases.” Nature communications vol. 13,1 7729. 13 Dec. 2022, doi:10.1038/s41467-022-35319-w","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206391","Illumina NovaSeq 6000","36513651","2"
"STDS0000188","Spatially resolved transcriptomics reveals genes associated with the vulnerability of middle temporal gyrus in Alzheimer’s disease","Homo sapiens","Brain","Postmortem brain","","0","3742","36601","","","10x Visium","6","6","","","Human middle temporal gyrus (MTG) is a vulnerable brain region in early Alzheimer’s disease (AD), but little is known about the molecular mechanisms underlying this regional vulnerability. Here we utilize the 10x Visium platform to define the spatial transcriptomic profile in both AD and control (CT) MTG. We identify unique marker genes for cortical layers and the white matter, and layer-specific differentially expressed genes (DEGs) in human AD compared to CT. Deconvolution of the Visium spots showcases the significant difference in particular cell types among cortical layers and the white matter. Gene co-expression analyses reveal eight gene modules, four of which have significantly altered co-expression patterns in the presence of AD pathology. The co-expression patterns of hub genes and enriched pathways in the presence of AD pathology indicate an important role of cell-cell-communications among microglia, oligodendrocytes, astrocytes, and neurons, which may contribute to the cellular and regional vulnerability in early AD. Using single-molecule fluorescent in situ hybridization, we validated the cell-type-specific expression of three novel DEGs (e.g., KIF5A, PAQR6, and SLC1A3) and eleven previously reported DEGs associated with AD pathology (i.e., amyloid beta plaques and intraneuronal neurofibrillary tangles or neuropil threads) at the single cell level. Our results may contribute to the understanding of the complex architecture and neuronal and glial response to AD pathology of this vulnerable brain region.","Human MTG was cryosectioned at 10 µm and mounted on the Visium GE slide for Visium profiling. Spatial resovled transcriptomic (SRT) was performed using the 10x Genomics Visium Spatial Gene Expression Kit (Slide Kit, Part# 1000188. Reagent Kit, Par# 1000189) by following 10x Visium user guide (CG000239 Rev A).","2022-12-07 00:00:00","2022-12-27 00:00:00","Wang, Cankun;Chen, Shuo;Chang, Yuzhou;Li, Liangping;Acosta, Diana;Li, Yang;Guo, Qi;Turkes, Emir;Morrison, Cody;Julian, Dominic;Hester, Mark E;Scharre, Douglas W;Santiskulvong, Chintda;Song, Xue Y;Plummer, Jasmine T;Serrano, Geidy E;Beach, Thomas G;Duff, Karen E;Ma, Qin;Fu, Hongjun","","Chen, Shuo et al. “Spatially resolved transcriptomics reveals genes associated with the vulnerability of middle temporal gyrus in Alzheimer's disease.” Acta neuropathologica communications vol. 10,1 188. 21 Dec. 2022, doi:10.1186/s40478-022-01494-6","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220442","Illumina NovaSeq 6000","36544231","1"
"STDS0000153","Cancer cell states recur across tumor types and form specific interactions with the tumor microenvironment","Homo sapiens;Mus musculus","Stomach","","","0","25529","41797","","","10x Visium","17","12","Breast carcinoma","","Transcriptional heterogeneity among malignant cells of a tumor has been studied in individual cancer types and shown to be organized into cancer cell states; however, it remains unclear to what extent these states span tumor types, constituting general features of cancer. Here, we perform a pan-cancer single-cell RNA-Seq analysis across 15 cancer types and identify a catalog of gene modules whose expression defines recurrent cancer cell states including ‘stress’, ‘interferon response’, ‘epithelial-mesenchymal transition’, ‘metal response’, ‘basal’ and ‘ciliated’. Spatial transcriptomic analysis linked the interferon response in cancer cells to T cells and macrophages in the tumor microenvironment. Using mouse models, we further found that induction of the interferon response module varies by tumor location and is diminished upon elimination of lymphocytes. Our work provides a framework for studying how cancer cell states interact with the tumor microenvironment to form organized systems capable of immune evasion, drug resistance, and metastasis.","Cancer cell states recur across tumor types and form specific interactions with the tumor microenvironment","2022-05-23 00:00:00","2022-12-11 00:00:00","Barkley, Dalia;Yanai, Itai","","Barkley, Dalia et al. “Cancer cell states recur across tumor types and form specific interactions with the tumor microenvironment.” Nature genetics vol. 54,8 (2022): 1192-1201. doi:10.1038/s41588-022-01141-9","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE203612","Illumina NextSeq 500 (Homo sapiens);Illumina NextSeq 500 (Mus musculus);Illumina NextSeq 500 (Homo sapiens; Mus musculus)","35931863","5"
"STDS0000181","INPP5D limits plaque formation and glial reactivity in the APP/PS1 mouse model of Alzheimer’s disease","Mus musculus","Brain","Coronal brain section","","0","34033","32285","","","10x Visium","12","12","","","Spatial Transcriptomics (Visium) of 12 coronal brain sections from 6 months old female Inpp5dfl/fl/Cx3cr1CreER/+ crossed to APPKM670/671NL/PSEN1Δexon9 (PSAPP) mice and treated with either cornoil or tamoxifen (75 mg/kg) at 3 months of age for 5 consecutive days","Spatial Transcriptomics of Inpp5dfl/fl/Cx3cr1CreER/+ crossed to APPKM670/671NL/PSEN1Δexon9 (PSAPP) mice to study the transcriptomics, brain-region resolved effect of removing Inpp5d from microglia in an animal model of Alzheimer's disease","2022-05-20 00:00:00","2022-12-09 00:00:00","Hasel, Philip;Liddelow, Shane A;Castranio, Emilie L;Ehrlich, Michelle E","","Castranio, Emilie L et al. “Microglial INPP5D limits plaque formation and glial reactivity in the PSAPP mouse model of Alzheimer's disease.” Alzheimer's & dementia : the journal of the Alzheimer's Association vol. 19,6 (2023): 2239-2252. doi:10.1002/alz.12821","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE203424","Illumina NovaSeq 6000","36448627","5"
"STDS0000157","clampFISH 2.0 enables rapid, scalable amplified RNA detection in situ","Homo sapiens","","","melanoma cells;cell line:WM989 A6-G3","0","47459","31053","","","ClampFISH","5","5","Melanoma","","We developed an amplified single-molecule RNA FISH method called clampFISH 2.0. To validate its performance, we used clampFISH 2.0 on two cell lines, WM989 A6-G3 cells and WM989 A6-G3 cells grown in vemurafenib, and across 10 genes, compared clampFISH 2.0 spot counts to the FPKM values from bulk RNA sequencing.","Resistant colonies were isolated from a plate of WM989 A6-G3 cells which were treated with 1µM vemurafenib. Bulk RNA sequencing was performed as described in Goyal et al. 2021 (https://doi.org/10.1101/2021.12.08.471833) for each resistant colony as well as drug-naive WM989 A6-G3 cells. For this analysis, a single resistant colony was included for comparison to the drug-naive WM989 A6-G3 cells. Briefly, we conducted standard bulk paired-end (37:8:8:38) RNA sequencing using RNeasy Micro (Qiagen, 74004) for RNA extraction, NEBNext Poly(A) mRNA Magnetic Isolation Module (NEB E7490L), NEBNext Ultra II RNA Library Prep Kit for Illumina (NEB, E7770L), NEBNext Multiplex Oligos for Illumina (Dual Index Primers Set 1) oligos (NEB, E7600S), and an Illumina NextSeq 550 75 cycle high-output kit (Illumina, 20024906), as previously described (Mellis et al. 2021; Shaffer et al. 2017). Prior to extraction and library preparation, the samples were randomized to avoid any experimental and human biases. We aligned RNA-seq reads to the human genome (hg19) with STAR v2.5.2a and counted uniquely mapping reads with HTSeq v0.6.1 (Dobin et al. 2013; Mellis et al. 2021; Shaffer et al. 2017) and outputs count matrix. The counts matrix was used to obtain tpm and other normalized values for each gene using scripts provided at: https://github.com/arjunrajlaboratory/RajLabSeqTools/tree/master/LocalComputerScripts","2022-08-17 00:00:00","2022-12-01 00:00:00","Goyal, Yogesh;Dardani, Ian;Raj, Arjun","","Dardani, Ian et al. “ClampFISH 2.0 enables rapid, scalable amplified RNA detection in situ.” Nature methods vol. 19,11 (2022): 1403-1410. doi:10.1038/s41592-022-01653-6","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211491","NextSeq 550 (Homo sapiens)","36280724","1"
"STDS0000186","Assessment of Spatial Genomics for Oncology Discovery","Rattus norvegicus;Homo sapiens;Mus musculus","Colon","Colon;Pancreatic cancer;B16F10 syngeneic tumor;MC38 syngeneic tumor","","0","0","0","","","10x Visium","29","29","","","Tumor heterogeneity is a major challenge for oncology drug discovery and development. Understanding of the spatial tumor landscape is key to identifying new targets and impactful model systems. Here, we test the utility of spatial transcriptomics (ST) for Oncology Discovery by profiling 40 tissue sections and 80,024 capture spots across a diverse set of tissue types, sample formats, and RNA capture chemistries. We verify the accuracy and fidelity of ST by leveraging matched pathology analysis that provide a ground truth for tissue section composition. We then use spatial data to demonstrate the capture of key tumor depth features, identifying hypoxia, necrosis, vasculature, and extracellular matrix variation. We also leverage spatial context to identify relative cell type locations showing the anti-correlation of tumor and immune cells in syngeneic cancer models. Lastly, we demonstrate target identification approaches in clinical pancreatic adenocarcinoma samples, highlighting tumor intrinsic biomarkers and paracrine signaling.","Anna, Lyubetskaya","2022-08-23 00:00:00","2022-11-29 00:00:00","Lyubetskaya, Anna;Rabe, Brian;Fisher, Andrew;Lewin, Anne;Neuhaus, Isaac;Brett, Connie;Brett, Todd;Pereira, Ethel;Golhar, Ryan;Kebede, Sami;Font-Tello, Alba;Mosure, Kathy;Van Wittenberghe, Nicholas;Mavrakis, Konstantinos;MacIsaac, Kenzie;Chen, Benjamin;Drokhlyansky, Eugene","","Lyubetskaya, Anna et al. “Assessment of spatial transcriptomics for oncology discovery.” Cell reports methods vol. 2,11 100340. 15 Nov. 2022, doi:10.1016/j.crmeth.2022.100340","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211895","Illumina NovaSeq 6000;Illumina NovaSeq 6000;Illumina NovaSeq 6000","36452860","5"
"STDS0000143","Neurons burdened by DNA double strand breaks incite microglia activation through antiviral-like signaling in neurodegeneration.","Mus musculus","","","celltype:Stage 2;celltype:Baseline;celltype:Glia;celltype:primary neuron;celltype:Stage 1;celltype:microglia","0","0","0","","","10x Visium;scRNA","47","0","","","DNA double strand breaks (DSBs) are linked to neurodegeneration and senescence. However, it is not clear how DSB-bearing neurons influence neuroinflammation associated with neurodegeneration. Here, we characterize DSB-bearing neurons from the CK-p25 mouse model of neurodegeneration using single-nucleus, bulk, and spatial transcriptomic techniques. DSB-bearing neurons enter a late-stage DNA damage response marked by NFκB-activated senescent and antiviral immune pathways. In humans, Alzheimer’s disease pathology is significantly associated with immune activation in excitatory neurons. Spatial transcriptomics reveal that regions of CK-p25 brain tissue dense with DSB-bearing neurons harbor signatures of inflammatory microglia, which is ameliorated by NFκB knock-down in neurons. Inhibition of NFκB in DSB-bearing neurons also reduces microglia activation in organotypic mouse brain slice culture. In conclusion, DSBs activate immune pathways in neurons, which in turn adopt a senescence-associated secretory phenotype to elicit microglia activation. These findings highlight a novel role for neurons in the mechanism of disease-associated neuroinflammation.","We used the CK-p25 mouse model of neurodegeneration to study the role of DSB-bearing neurons in neurodegeneration. Two male CK-p25 mice and two male CK mice were used for bulk RNA-sequencing. Stage 1, Stage 2, Baseline neurons, and Glia (so termed by NeuN and gH2AX imunoreactivity) were sorted from each mouse using FANS, then sequenced. For single-nucleus RNA-seq, Stage 1, Stage 2, Baseline neurons, and Glia were sorted and sequenced from three CK-p25 animals and three CK control littermates 1-week and 2-weeks after p25 induction. A total of 1,357 single nucleus libraries were prepared using SMARTseq2 chemistry. Three biological replicates each were used for bulk RNA-seq of etoposide-treated primary neurons (50um, 6hours), and dmso-control primary neurons. Three biological replicates each were used for bulk RNA-seq of FAN-sorted microglia nuclei from CK-p25 p65kd, CK-p25 Scramble, and CK Control PBS mice. Microglia nuclei were sorted based on PU.1 immunoreactivity.","2021-05-11 00:00:00","2022-11-29 00:00:00","Tsai, Li-Huei;Welch, Gwyneth M;Su, Qiao;Pfenning, Andreas R;Boix, Carles A;Kellis, Manolis;Schmauch, Eloi","","Welch, Gwyneth M et al. “Neurons burdened by DNA double-strand breaks incite microglia activation through antiviral-like signaling in neurodegeneration.” Science advances vol. 8,39 (2022): eabo4662. doi:10.1126/sciadv.abo4662","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE174265","Illumina MiSeq (Mus musculus);Illumina NextSeq 500 (Mus musculus);Illumina NovaSeq 6000 (Mus musculus)","36170369","2"
