id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	rank	Astrocytes|Astrocytes	Astrocytes|Erythroid cells	Astrocytes|Interneurons	Astrocytes|Neuroblasts1	Astrocytes|Neuroblasts2	Astrocytes|Neurons1	Astrocytes|Neurons2	Astrocytes|Neurons3	Astrocytes|Platelets	Astrocytes|Pyramidal cells	Astrocytes|Unknown	Erythroid cells|Astrocytes	Erythroid cells|Erythroid cells	Erythroid cells|Interneurons	Erythroid cells|Neuroblasts1	Erythroid cells|Neuroblasts2	Erythroid cells|Neurons1	Erythroid cells|Neurons2	Erythroid cells|Neurons3	Erythroid cells|Platelets	Erythroid cells|Pyramidal cells	Erythroid cells|Unknown	Interneurons|Astrocytes	Interneurons|Erythroid cells	Interneurons|Interneurons	Interneurons|Neuroblasts1	Interneurons|Neuroblasts2	Interneurons|Neurons1	Interneurons|Neurons2	Interneurons|Neurons3	Interneurons|Platelets	Interneurons|Pyramidal cells	Interneurons|Unknown	Neuroblasts1|Astrocytes	Neuroblasts1|Erythroid cells	Neuroblasts1|Interneurons	Neuroblasts1|Neuroblasts1	Neuroblasts1|Neuroblasts2	Neuroblasts1|Neurons1	Neuroblasts1|Neurons2	Neuroblasts1|Neurons3	Neuroblasts1|Platelets	Neuroblasts1|Pyramidal cells	Neuroblasts1|Unknown	Neuroblasts2|Astrocytes	Neuroblasts2|Erythroid cells	Neuroblasts2|Interneurons	Neuroblasts2|Neuroblasts1	Neuroblasts2|Neuroblasts2	Neuroblasts2|Neurons1	Neuroblasts2|Neurons2	Neuroblasts2|Neurons3	Neuroblasts2|Platelets	Neuroblasts2|Pyramidal cells	Neuroblasts2|Unknown	Neurons1|Astrocytes	Neurons1|Erythroid cells	Neurons1|Interneurons	Neurons1|Neuroblasts1	Neurons1|Neuroblasts2	Neurons1|Neurons1	Neurons1|Neurons2	Neurons1|Neurons3	Neurons1|Platelets	Neurons1|Pyramidal cells	Neurons1|Unknown	Neurons2|Astrocytes	Neurons2|Erythroid cells	Neurons2|Interneurons	Neurons2|Neuroblasts1	Neurons2|Neuroblasts2	Neurons2|Neurons1	Neurons2|Neurons2	Neurons2|Neurons3	Neurons2|Platelets	Neurons2|Pyramidal cells	Neurons2|Unknown	Neurons3|Astrocytes	Neurons3|Erythroid cells	Neurons3|Interneurons	Neurons3|Neuroblasts1	Neurons3|Neuroblasts2	Neurons3|Neurons1	Neurons3|Neurons2	Neurons3|Neurons3	Neurons3|Platelets	Neurons3|Pyramidal cells	Neurons3|Unknown	Platelets|Astrocytes	Platelets|Erythroid cells	Platelets|Interneurons	Platelets|Neuroblasts1	Platelets|Neuroblasts2	Platelets|Neurons1	Platelets|Neurons2	Platelets|Neurons3	Platelets|Platelets	Platelets|Pyramidal cells	Platelets|Unknown	Pyramidal cells|Astrocytes	Pyramidal cells|Erythroid cells	Pyramidal cells|Interneurons	Pyramidal cells|Neuroblasts1	Pyramidal cells|Neuroblasts2	Pyramidal cells|Neurons1	Pyramidal cells|Neurons2	Pyramidal cells|Neurons3	Pyramidal cells|Platelets	Pyramidal cells|Pyramidal cells	Pyramidal cells|Unknown	Unknown|Astrocytes	Unknown|Erythroid cells	Unknown|Interneurons	Unknown|Neuroblasts1	Unknown|Neuroblasts2	Unknown|Neurons1	Unknown|Neurons2	Unknown|Neurons3	Unknown|Platelets	Unknown|Pyramidal cells	Unknown|Unknown
CPI-SS0EEFFA23C	LRRTM1_NRXN3	simple:Q86UE6	simple:Q9HDB5	LRRTM1	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.025																																																																																																						0.38		0.101	0.161																
CPI-SS0CE96B837	EFNB3_EPHB1	simple:Q15768	simple:P54762	EFNB3	EPHB1	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.033																												0.104																																	0.12																						0.137																																	0.1					
CPI-SS043D3630C	LRRTM1_NRXN1	simple:Q86UE6	simple:Q9ULB1	LRRTM1	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.033																																																																																																									0.276		0.254		0.171	0.204											
CPI-SS0888FD8F7	LRRTM1_NRXN2	simple:Q86UE6	simple:P58401	LRRTM1	NRXN2	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.033																																																																																																						0.153			0.168		0.168		0.104												
CPI-SS027E12A36	MDK_PTPRZ1	simple:P21741	simple:P23471	MDK	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Midkine	0.041	0.4																																	0.494											0.371																																												0.358																						0.275										
CPI-SS0DF9024C0	WNT3_SFRP1	simple:P56703	simple:Q8N474	WNT3	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.041																																																																																																															0.228			0.128	0.104				0.128	0.094	
CPI-SS0C4261737	GJC1_GJA1	simple:P36383	simple:P17302	GJC1	GJA1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.041									0.208																																	0.189											0.218																																												0.283											0.196													
CPI-SS04E690D72	PTN_PTPRZ1	simple:P21246	simple:P23471	PTN	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Pleiotrophin	0.041	0.2																																	0.125																						0.129																						0.323											0.315																																
CPI-SS05F136AA2	SLITRK5_PTPRS	simple:O94991	simple:Q13332	SLITRK5	PTPRS	False	False	True	curated	False	Ligand-Receptor	Signaling by SLIT and NTRK-like protein	0.05																																																													0.092		0.074		0.098																																																			0.1		0.083		0.107	
CPI-SS09C06644C	CADM3_CADM1	simple:Q8N126	simple:Q9BY67	CADM3	CADM1	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.05																																																													0.36		0.33		0.207																		0.357		0.327		0.203																																		
CPI-SS079EF5D9C	EFNA3_EPHA5	simple:P52797	simple:P54756	EFNA3	EPHA5	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.05																																																										0.129							0.154																																					0.153	0.101		0.092				0.178												
CPI-SS0EF309375	EFNA3_EPHA3	simple:P52797	simple:P29320	EFNA3	EPHA3	True	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.05																																																											0.081	0.072					0.09																																						0.105	0.096					0.114												
CPI-SS0D9DE7106	DAG1_NRXN3	simple:Q14118	simple:Q9HDB5	DAG1	NRXN3	True	True	False	curated	False	Ligand-Receptor		0.05			0.392		0.112	0.172																																																																																					0.4		0.12	0.181																											
CPI-SS0E41702C1	IGF1_IGF1R	simple:P05019	simple:P08069	IGF1	IGF1R	True	False	True	curated	False	Ligand-Receptor	Signaling by Insulin-like growth factor	0.05																																																																																											0.088		0.081	0.081		0.087	0.081	0.088																							
CPI-SS01D36DDFA	PTPRS_NTRK3	simple:Q13332	simple:Q16288	PTPRS	NTRK3	False	True	True	curated	False	Receptor-Receptor		0.05																																																													0.131				0.135																		0.114				0.118																		0.138				0.142												
CPI-SS008E98D3E	FLRT2_ADGRL1	simple:O43155	simple:O94910	FLRT2	ADGRL1	False	False	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.058																																																																																									0.093		0.108		0.089	0.17		0.141	0.097	0.155																							
CPI-SS09E3F5044	EFNA5_EPHA5	simple:P52803	simple:P54756	EFNA5	EPHA5	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.058																																																										0.139	0.088						0.164															0.14							0.166																										0.139							0.165	
CPI-SS085E14488	NRXN1_DAG1	simple:Q9ULB1	simple:Q14118	NRXN1	DAG1	True	False	True	curated	False	Receptor-Receptor	Signaling by Neurexin	0.066																																																								0.287								0.296														0.265								0.273														0.182								0.191			0.215								0.224		
CPI-SS0CB6F5575	APP_PLXNA4	simple:P05067	simple:Q9HCM2	APP	PLXNA4	False	False	True	curated	False	Ligand-Receptor	Signaling by Amyloid-beta precursor protein	0.066																																0.132											0.13											0.131											0.185																						0.184											0.22											0.166											0.158	
CPI-SS0C70ADA28	EFNA5_EPHA3	simple:P52803	simple:P29320	EFNA5	EPHA3	True	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.074																																																											0.092	0.082					0.101																0.093	0.083					0.102																											0.092	0.082					0.101	
CPI-SS0ACD487F0	L1CAM_L1CAM	simple:P32004	simple:P32004	L1CAM	L1CAM	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by L1CAM	0.074																																																													0.066		0.082		0.066																		0.082		0.098		0.082																		0.066		0.082		0.066												
CPI-SS0193D81E1	NRXN2_DAG1	simple:P58401	simple:Q14118	NRXN2	DAG1	True	False	True	curated	False	Receptor-Receptor	Signaling by Neurexin	0.074																							0.165								0.173																									0.179								0.187														0.18								0.188														0.116								0.124											0.127		
CPI-SS04FD52559	TENM3_ADGRL1	simple:Q9P273	simple:O94910	TENM3	ADGRL1	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.083						0.143		0.114		0.128																																																			0.146		0.117		0.131															0.101			0.163		0.134		0.148																																		
CPI-SS05B4EB419	EFNA3_EPHA4	simple:P52797	simple:P54764	EFNA3	EPHA4	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.091																																																								0.145		0.121	0.188	0.148					0.117																																			0.169		0.145	0.212	0.173			0.13		0.141												
CPI-SS075F456AF	TENM3_ADGRL2	simple:Q9P273	simple:O95490	TENM3	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.091	0.07							0.072		0.099																																														0.073							0.075		0.102													0.09				0.079			0.092	0.088	0.119																																		
CPI-SS02D18D12B	CADM3_CADM4	simple:Q8N126	simple:Q8NFZ8	CADM3	CADM4	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.099																																																										0.182	0.123		0.152		0.134		0.161	0.163														0.179	0.119		0.148		0.13		0.157	0.16																																	
CPI-SS087E0E3FB	EFNB2_EPHA4	simple:P52799	simple:P54764	EFNB2	EPHA4	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.099	0.144			0.187	0.148																																																																																				0.142			0.184	0.145							0.19		0.166	0.233	0.194			0.151		0.162												
CPI-CS049AAD8F5	TENM2_FLRT3_complex_ADGRL2	complex:TENM2_FLRT3_complex	simple:O95490		ADGRL2	False	True	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.107										0.113																																	0.124											0.115											0.106																						0.114													0.099							0.101		0.128		0.153				0.143			0.155	0.151	0.182	
CPI-SS0FD44484F	TENM4_ADGRL2	simple:Q6N022	simple:O95490	TENM4	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.107										0.127																								0.14							0.142	0.138	0.169											0.141																								0.124									0.152													0.189				0.178			0.19	0.186	0.217												
CPI-SS0731F750C	NLGN1_NRXN3	simple:Q8N2Q7	simple:Q9HDB5	NLGN1	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Neuroligin	0.116			0.384			0.165																														0.398		0.118	0.179																			0.397		0.117	0.178																			0.383			0.164																			0.382			0.162								0.401			0.182					
CPI-SS0FC01B947	EFNA5_EPHA4	simple:P52803	simple:P54764	EFNA5	EPHA4	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.124																																																								0.155		0.131	0.198	0.159					0.127													0.157		0.132	0.199	0.16					0.129																								0.155		0.131	0.198	0.159					0.127	
CPI-SS08BFFB96E	FLRT3_ADGRL2	simple:Q9NZU0	simple:O95490	FLRT3	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.132	0.092									0.121																								0.1							0.102		0.129											0.12											0.106																						0.114													0.099							0.101		0.128		0.197				0.186			0.199	0.195	0.226	
CPI-SS0EE09A201	CDH2_CDH2	simple:P19022	simple:P19022	CDH2	CDH2	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.14	0.314		0.29			0.305		0.299		0.318													0.29									0.294																								0.305					0.295				0.309													0.299									0.303													0.318		0.294			0.309		0.303		0.322												
CPI-CS0B24464AF	TENM4_FLRT3_complex_ADGRL1	complex:TENM4_FLRT3_complex	simple:O94910		ADGRL1	False	True	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.14						0.165		0.136		0.15																													0.173		0.144		0.158							0.165		0.136		0.15							0.15				0.135																		0.158		0.129		0.143																		0.172		0.143		0.157												
CPI-SS021718DBF	TENM2_ADGRL2	simple:Q9NT68	simple:O95490	TENM2	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.14																							0.171				0.16			0.173	0.169	0.2																								0.249				0.238			0.25	0.246	0.277													0.382				0.371			0.384	0.38	0.411																						0.153											0.182	
CPI-SS05E4F3F47	NRXN3_ADGRL1	simple:Q9HDB5	simple:O94910	NRXN3	ADGRL1	False	False	True	curated	False	Receptor-Receptor	Signaling by Neurexin	0.14																							0.381		0.396		0.376	0.458		0.429	0.384	0.443																		0.178		0.149		0.163		0.161		0.177		0.157	0.238		0.209	0.165	0.223																																																								
CPI-SS0EC12EAD9	TENM4_ADGRL1	simple:Q6N022	simple:O94910	TENM4	ADGRL1	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.157						0.171				0.156																													0.213		0.184		0.198							0.185		0.156		0.17							0.156																						0.197		0.168		0.182													0.185		0.2		0.18	0.261		0.233	0.188	0.246												
CPI-SS03446CB39	EFNB1_EPHA4	simple:P98172	simple:P54764	EFNB1	EPHA4	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.174	0.284		0.26	0.327	0.288			0.245		0.256																0.207								0.268		0.244	0.311	0.272			0.229		0.24		0.235		0.211	0.278	0.239					0.207																																						0.23								0.195			0.237																		
CPI-SS0CEFF4625	GJC1_GJC1	simple:P36383	simple:P36383	GJC1	GJC1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.174	0.12			0.101	0.13				0.195	0.107																								0.101				0.112				0.177			0.13			0.112	0.14				0.205	0.118																																			0.195			0.177	0.205				0.27	0.183		0.107				0.118				0.183													
CPI-SS09159B142	TENM2_ADGRL1	simple:Q9NT68	simple:O94910	TENM2	ADGRL1	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.182																									0.182			0.244		0.215		0.229																								0.245		0.26		0.24	0.322		0.293	0.248	0.307													0.378		0.393		0.373	0.455		0.426	0.381	0.44																		0.197				0.182							0.226				0.211	
CPI-CS04534E61E	TENM2_FLRT3_complex_ADGRL1	complex:TENM2_FLRT3_complex	simple:O94910		ADGRL1	False	True	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.19						0.157		0.128		0.142																													0.168		0.139		0.153							0.159		0.13		0.144							0.15				0.135																		0.158				0.143																		0.172		0.143		0.157		0.149		0.164		0.145	0.226		0.197	0.153	0.211	
CPI-SS084B1ED25	EFNB3_EPHA4	simple:Q15768	simple:P54764	EFNB3	EPHA4	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.19																							0.172		0.148	0.214	0.175			0.133		0.144																								0.187		0.163	0.23	0.191			0.148		0.159													0.204		0.18	0.247	0.207			0.165		0.176																								0.168		0.144	0.21	0.171					0.14	
CPI-SS0CF0A8519	NLGN1_NRXN2	simple:Q8N2Q7	simple:P58401	NLGN1	NRXN2	False	False	False	curated	False	Ligand-Receptor	Signaling by Neuroligin	0.19			0.157			0.172		0.172		0.108																										0.171			0.185		0.186		0.122															0.17			0.184		0.185		0.121															0.156			0.17		0.171																	0.154			0.169		0.169		0.105				0.174			0.189		0.189		0.125	
CPI-SS0D2DF7881	NLGN1_NRXN1	simple:Q8N2Q7	simple:Q9ULB1	NLGN1	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Neuroligin	0.198						0.28		0.258		0.175	0.208																												0.293		0.271		0.188	0.222																	0.292		0.27		0.188	0.221																	0.279		0.257		0.174	0.207																	0.277		0.255		0.172	0.205						0.297		0.275		0.192	0.225
CPI-SS0B0B67CA2	NRXN2_ADGRL1	simple:P58401	simple:O94910	NRXN2	ADGRL1	False	False	True	curated	False	Receptor-Receptor	Signaling by Neurexin	0.231																							0.154		0.169		0.149	0.23		0.202	0.157	0.215																								0.168		0.183		0.163	0.245		0.216	0.171	0.23													0.168		0.184		0.164	0.245		0.217	0.172	0.23							0.155				0.14							0.181		0.153		0.167							0.185				0.17	
CPI-SS019D9440E	NRXN1_ADGRL1	simple:Q9ULB1	simple:O94910	NRXN1	ADGRL1	False	False	True	curated	False	Receptor-Receptor	Signaling by Neurexin	0.24																																																								0.276		0.291		0.271	0.353		0.324	0.279	0.338							0.18						0.254		0.269		0.249	0.331		0.302	0.257	0.316													0.171		0.186		0.166	0.248		0.219	0.174	0.233		0.204		0.22		0.2	0.281		0.252	0.208	0.266	
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	CADM1	CADM1	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.264						0.44		0.411																				0.455		0.425									0.424		0.394									0.423		0.394				0.44		0.455	0.424	0.423	0.63	0.385	0.6	0.358	0.476	0.374						0.385		0.355				0.411		0.425	0.394	0.394	0.6	0.355	0.57		0.447							0.358											0.476		0.447									0.374					
CPI-SS083239CEC	WNT6_SFRP4	simple:Q9Y6F9	simple:Q6FHJ7	WNT6	SFRP4	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.264																																																																																																																									
CPI-SS001D0E553	WNT7A_SFRP4	simple:O00755	simple:Q6FHJ7	WNT7A	SFRP4	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.264																																																																																																																									
CPI-SS050373228	WNT7B_SFRP4	simple:P56706	simple:Q6FHJ7	WNT7B	SFRP4	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.264																																																																																																																									
CPI-SS043B6AA95	WNT8B_SFRP4	simple:Q93098	simple:Q6FHJ7	WNT8B	SFRP4	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.264																																																																																																																									
CPI-SS010F961E8	WNT2B_WIF1	simple:Q93097	simple:Q9Y5W5	WNT2B	WIF1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.264																																																																																																																									
CPI-SS068E97BDA	WNT4_WIF1	simple:P56705	simple:Q9Y5W5	WNT4	WIF1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.264																																																																																																																									
CPI-SS03C93A8FE	WNT5A_WIF1	simple:P41221	simple:Q9Y5W5	WNT5A	WIF1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.264																																																																																																																									
CPI-SS0F41AC8EC	WNT7A_SFRP2	simple:O00755	simple:Q96HF1	WNT7A	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.264																																																																																																																									
CPI-SS08F783A87	WNT7B_SFRP2	simple:P56706	simple:Q96HF1	WNT7B	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.264																																																																																																																									
CPI-SS07A42979A	WNT8B_SFRP2	simple:Q93098	simple:Q96HF1	WNT8B	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.264																																																																																																																									
CPI-SS0BFEE3968	WNT2B_SFRP4	simple:Q93097	simple:Q6FHJ7	WNT2B	SFRP4	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.264																																																																																																																									
CPI-SS0851A1599	WNT3_SFRP4	simple:P56703	simple:Q6FHJ7	WNT3	SFRP4	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.264																																																																																																																									
CPI-SS0514C14A6	WNT4_SFRP4	simple:P56705	simple:Q6FHJ7	WNT4	SFRP4	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.264																																																																																																																									
CPI-SS0A21B9682	WNT5A_SFRP4	simple:P41221	simple:Q6FHJ7	WNT5A	SFRP4	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.264																																																																																																																									
CPI-SS07F50324B	WNT5B_SFRP4	simple:Q9H1J7	simple:Q6FHJ7	WNT5B	SFRP4	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.264																																																																																																																									
CPI-SS0FE9D6F11	WNT7B_SFRP1	simple:P56706	simple:Q8N474	WNT7B	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.264																																																																																																																									
CPI-SS007FD6F72	WNT8B_SFRP1	simple:Q93098	simple:Q8N474	WNT8B	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.264																																																																																																																									
CPI-SS08643DD8A	WNT2B_SFRP2	simple:Q93097	simple:Q96HF1	WNT2B	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.264																																																																																																																									
CPI-SS0661CE946	WNT4_SFRP2	simple:P56705	simple:Q96HF1	WNT4	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	1.264																																																																																																																									
